APMC,Commodity,arrivals_in_qtl Seasonality Type,min_price Seasonality Type,max_price Seasonality Type,modal_price Seasonality Type,district_name,state_name
nampur,gram,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
shirur,rajgira,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
osmanabad,kharbuj,multiplicative,not enough data,multiplicative,multiplicative,osmanabad,maharashtra
jalna,banana,multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
chandrapur,horse gram,not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
latur,linseed,not enough data,not enough data,not enough data,not enough data,latur,maharashtra
pune-moshi,wal bhaji,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
hingoli,cotton,not enough data,not enough data,not enough data,not enough data,hingoli,maharashtra
shirpur,castor seed,not enough data,not enough data,not enough data,not enough data,dhule,maharashtra
pandharpur,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
hingoli,gram,multiplicative,multiplicative,multiplicative,multiplicative,hingoli,maharashtra
khalapur(shil-phata),wheat(husked),multiplicative,not enough data,not enough data,not enough data,raigad,maharashtra
kalyan,zendu,not enough data,not enough data,not enough data,not enough data,thane,maharashtra
bhokardan,green gram,multiplicative,not enough data,not enough data,not enough data,jalna,maharashtra
shevgaon-bodhegaon,green gram,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
kalvan,bajri,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
indapur,onion,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
shevgaon,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
kolhapur,small gourd,not enough data,not enough data,not enough data,not enough data,kolhapur,maharashtra
solapur,green chilli,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
ambejogai,maize,additive,not enough data,not enough data,not enough data,beed,maharashtra
nashik,onion,multiplicative,multiplicative,multiplicative,multiplicative,nasik,maharashtra
dhule,bitter gourd,not enough data,not enough data,not enough data,not enough data,dhule,maharashtra
umarga,ground nut pods (dry),not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
vadgaon peth,onion,not enough data,not enough data,not enough data,not enough data,kolhapur,maharashtra
akkolkot,sesamum,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
ahmedpur,castor seed,not enough data,not enough data,not enough data,not enough data,latur,maharashtra
mumbai,tamarind,multiplicative,multiplicative,multiplicative,multiplicative,mumbai,maharashtra
khed,ladies finger,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
umarkhed-danki,sorgum(jawar),multiplicative,multiplicative,not enough data,not enough data,yewatmal,maharashtra
pusad,green gram,multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
anajngaon surji,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,amaravathi,maharashtra
palus,ladies finger,not enough data,not enough data,multiplicative,multiplicative,sangli,maharashtra
sailu,gram,multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
pune-pimpri,wheat(husked),not enough data,not enough data,not enough data,not enough data,pune,maharashtra
pandharpur,pomegranate,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
rahata,capsicum,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
nira-saswad,gram,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
kurdwadi-modnimb,onion,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
chandrapur,chavli (pala),not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
ahmednagar,lemon,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
latur-murud,safflower,not enough data,multiplicative,not enough data,not enough data,latur,maharashtra
jalna,black gram,multiplicative,multiplicative,multiplicative,multiplicative,jalna,maharashtra
chalisgaon,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
jintur,safflower,multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
gondpimpri,soybean,multiplicative,multiplicative,multiplicative,multiplicative,chandrapur,maharashtra
ausa,safflower,multiplicative,multiplicative,multiplicative,multiplicative,latur,maharashtra
varora,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,chandrapur,maharashtra
pune-pimpri,cluster bean,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
shrirampur-belapur,bajri,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
barshi,tamarind seed,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
ramtek,garlic,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
gondpimpri,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,chandrapur,maharashtra
shrigonda,pigeon pea (tur),not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
vadgaon peth,ridge gourd,multiplicative,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
digras,sesamum,additive,not enough data,not enough data,not enough data,yewatmal,maharashtra
murbad,ladies finger,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
achalpur,mustard,multiplicative,not enough data,not enough data,not enough data,amaravathi,maharashtra
gangakhed,soybean,not enough data,not enough data,not enough data,not enough data,parbhani,maharashtra
solapur,coriander  ,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
osmanabad,small gourd,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
vai,curry leaves,not enough data,not enough data,not enough data,not enough data,satara,maharashtra
katol,soybean,multiplicative,multiplicative,multiplicative,multiplicative,nagpur,maharashtra
amarawati,harbara(pendi),not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
kej,gram,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
pune,jui,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
mangalwedha,wheat(unhusked),multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
phaltan,ladies finger,not enough data,not enough data,multiplicative,multiplicative,satara,maharashtra
kolhapur,custard apple,not enough data,multiplicative,multiplicative,multiplicative,kolhapur,maharashtra
taloda,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,nandurbar,maharashtra
mangalwedha,brinjal,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
dharni,maize,multiplicative,not enough data,not enough data,not enough data,amaravathi,maharashtra
parli-vaijnath,soybean,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
sillod-bharadi,green gram,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
digras,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,yewatmal,maharashtra
aheri,green gram,multiplicative,not enough data,not enough data,not enough data,gadchiroli,maharashtra
shahapur,bottle gourd,not enough data,not enough data,not enough data,not enough data,thane,maharashtra
kalyan,carrot,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
bhandara,lentil,not enough data,not enough data,not enough data,not enough data,bhandara,maharashtra
hinganghat,cotton,not enough data,not enough data,not enough data,not enough data,wardha,maharashtra
bhusaval,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
rahuri,wheat(husked),multiplicative,not enough data,multiplicative,multiplicative,ahmadnagar,maharashtra
pune-manjri,cucumber,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
kurdwadi,black gram,not enough data,multiplicative,multiplicative,multiplicative,solapur,maharashtra
amarawati-fruit and vegetables,green-peas,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
chikhali,sesamum,not enough data,not enough data,not enough data,not enough data,buldhana,maharashtra
vai,shepu,not enough data,not enough data,not enough data,not enough data,satara,maharashtra
ahmednagar,ghosali(bhaji),multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
paithan,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
devala,coriander (dry),not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
akkolkot,maize,multiplicative,not enough data,not enough data,not enough data,solapur,maharashtra
pathari,pigeon pea (tur),multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
pathardi,bajri,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
paranda,pigeon pea (tur),not enough data,not enough data,multiplicative,multiplicative,osmanabad,maharashtra
devala,soybean,not enough data,not enough data,not enough data,not enough data,nasik,maharashtra
kalyan,mosambi,multiplicative,multiplicative,multiplicative,multiplicative,thane,maharashtra
pune-manjri,guava,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
ghansawangi,black gram,not enough data,not enough data,not enough data,not enough data,jalna,maharashtra
nampur,pomegranate,multiplicative,not enough data,not enough data,not enough data,nasik,maharashtra
baramati,soybean,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
bhokar,sunflower,multiplicative,not enough data,not enough data,not enough data,nanded,maharashtra
barshi,rala,not enough data,not enough data,not enough data,not enough data,solapur,maharashtra
rahata,kharbuj,not enough data,not enough data,not enough data,not enough data,ahmadnagar,maharashtra
shrirampur-belapur,gram,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
panvel,bottle gourd,multiplicative,multiplicative,multiplicative,multiplicative,raigad,maharashtra
nagpur,nolkol,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
pune-moshi,spinach,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
akluj,potato,multiplicative,multiplicative,multiplicative,multiplicative,solapur,maharashtra
samudrapur,gram,multiplicative,not enough data,not enough data,not enough data,wardha,maharashtra
ambad(vadi godri),soybean,not enough data,multiplicative,multiplicative,multiplicative,jalna,maharashtra
gangapur,soybean,not enough data,not enough data,not enough data,not enough data,aurangabad,maharashtra
manchar,ladies finger,multiplicative,multiplicative,multiplicative,multiplicative,pune,maharashtra
parshiwani,coriander  ,not enough data,not enough data,not enough data,not enough data,nagpur,maharashtra
jintur,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
murum,safflower,not enough data,not enough data,not enough data,not enough data,osmanabad,maharashtra
aurangabad,pomegranate,multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
shrirampur,sweet potato,multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
sailu,bajri,multiplicative,multiplicative,multiplicative,multiplicative,parbhani,maharashtra
chakur,punvad,not enough data,not enough data,not enough data,not enough data,latur,maharashtra
karad,kanda pat,not enough data,not enough data,not enough data,not enough data,satara,maharashtra
panvel,ridge gourd,multiplicative,multiplicative,multiplicative,multiplicative,raigad,maharashtra
kille dharur,soybean,multiplicative,multiplicative,multiplicative,multiplicative,beed,maharashtra
vadgaon peth,snake gourd,multiplicative,not enough data,not enough data,not enough data,kolhapur,maharashtra
dhamangaon-rly,green gram,not enough data,not enough data,not enough data,not enough data,amaravathi,maharashtra
umari,gram,not enough data,not enough data,not enough data,not enough data,nanded,maharashtra
lasur station,wheat(husked),multiplicative,multiplicative,multiplicative,multiplicative,aurangabad,maharashtra
chopda,gram,multiplicative,multiplicative,multiplicative,multiplicative,jalgaon,maharashtra
junnar-otur,ghevda,not enough data,not enough data,not enough data,not enough data,pune,maharashtra
sangli-miraj,wheat(unhusked),not enough data,multiplicative,multiplicative,multiplicative,sangli,maharashtra
shevgaon-bodhegaon,sorgum(jawar),multiplicative,multiplicative,multiplicative,multiplicative,ahmadnagar,maharashtra
