APMC,Commodity,year,Average Difference Raw,Average Difference Deseasonalised,district_name,state_name
akhadabalapur,pigeon pea (tur),2015,1192.7777777777774,1098.1111111111113,hingoli,maharashtra
akhadabalapur,pigeon pea (tur),2016,3033.875,1789.375,hingoli,maharashtra
vaijapur,gram,2014,NO MSP,NO MSP,aurangabad,maharashtra
vaijapur,gram,2015,NO MSP,NO MSP,aurangabad,maharashtra
vaijapur,gram,2016,NO MSP,NO MSP,aurangabad,maharashtra
bori,black gram,2016,NO MSP,NO MSP,parbhani,maharashtra
jintur,sesamum,2015,3550.0,3550.0,parbhani,maharashtra
nanded,sorgum(jawar),2014,-176.66666666666674,-734.3333333333334,nanded,maharashtra
nanded,sorgum(jawar),2015,-372.70000000000005,-375.4000000000001,nanded,maharashtra
nanded,sorgum(jawar),2016,-275.0,-371.090909090909,nanded,maharashtra
jalgaon jamod,soybean,2014,NO MSP,NO MSP,buldhana,maharashtra
jalgaon jamod,soybean,2015,NO MSP,NO MSP,buldhana,maharashtra
jalgaon jamod,soybean,2016,NO MSP,NO MSP,buldhana,maharashtra
malegaon,green gram,2014,NO MSP,NO MSP,nasik,maharashtra
malegaon,green gram,2015,NO MSP,NO MSP,nasik,maharashtra
malegaon,green gram,2016,NO MSP,NO MSP,nasik,maharashtra
ahmednagar,black gram,2014,NO MSP,NO MSP,ahmadnagar,maharashtra
ahmednagar,black gram,2015,NO MSP,NO MSP,ahmadnagar,maharashtra
ahmednagar,black gram,2016,NO MSP,NO MSP,ahmadnagar,maharashtra
ulhasnagar,green gram,2015,NO MSP,NO MSP,thane,maharashtra
ulhasnagar,green gram,2016,NO MSP,NO MSP,thane,maharashtra
raver,rice(paddy-hus),2016,33.0,33.0,jalgaon,maharashtra
naigaon,pigeon pea (tur),2014,350.0,350.0,nanded,maharashtra
naigaon,pigeon pea (tur),2015,4974.0,4974.0,nanded,maharashtra
naigaon,pigeon pea (tur),2016,2461.5,2461.5,nanded,maharashtra
naigaon,wheat(husked),2014,-75.0,-75.0,nanded,maharashtra
naigaon,wheat(husked),2015,-50.0,-50.0,nanded,maharashtra
naigaon,wheat(husked),2016,NO MSP,NO MSP,nanded,maharashtra
kalyan,kanda pat,2016,NO MSP,NO MSP,thane,maharashtra
washim,safflower,2014,-550.0,-550.0,wasim,maharashtra
washim,safflower,2015,-1469.75,-1469.75,wasim,maharashtra
nagpur,mango,2015,NO MSP,NO MSP,nagpur,maharashtra
nagpur,mango,2016,NO MSP,NO MSP,nagpur,maharashtra
kalmeshwar,methi (bhaji),2014,NO MSP,NO MSP,nagpur,maharashtra
kalmeshwar,methi (bhaji),2015,NO MSP,NO MSP,nagpur,maharashtra
kalmeshwar,methi (bhaji),2016,NO MSP,NO MSP,nagpur,maharashtra
islampur,brinjal,2014,NO MSP,NO MSP,sangli,maharashtra
islampur,brinjal,2016,NO MSP,NO MSP,sangli,maharashtra
mangalwedha,horse gram,2014,NO MSP,NO MSP,solapur,maharashtra
mangalwedha,horse gram,2015,NO MSP,NO MSP,solapur,maharashtra
mangalwedha,horse gram,2016,NO MSP,NO MSP,solapur,maharashtra
bori arab,pigeon pea (tur),2015,3075.0,3075.0,yewatmal,maharashtra
bori arab,pigeon pea (tur),2016,3169.0,3169.0,yewatmal,maharashtra
khed-chakan,green chilli,2015,NO MSP,NO MSP,pune,maharashtra
khed-chakan,green chilli,2016,NO MSP,NO MSP,pune,maharashtra
ahmedpur,gram,2014,NO MSP,NO MSP,latur,maharashtra
ahmedpur,gram,2015,NO MSP,NO MSP,latur,maharashtra
ahmedpur,gram,2016,NO MSP,NO MSP,latur,maharashtra
satara,onion,2014,NO MSP,NO MSP,satara,maharashtra
satara,onion,2015,NO MSP,NO MSP,satara,maharashtra
satara,onion,2016,NO MSP,NO MSP,satara,maharashtra
lasalgaon,pigeon pea (tur),2014,-849.5,-1335.0,nasik,maharashtra
lasalgaon,pigeon pea (tur),2015,478.0,421.8888888888887,nasik,maharashtra
lasalgaon,pigeon pea (tur),2016,1981.333333333333,1662.166666666667,nasik,maharashtra
vaijapur,pigeon pea (tur),2014,-1018.75,-1820.75,aurangabad,maharashtra
vaijapur,pigeon pea (tur),2015,1979.5714285714284,1408.4285714285716,aurangabad,maharashtra
vaijapur,pigeon pea (tur),2016,2247.8,1828.1000000000004,aurangabad,maharashtra
kej,gram,2015,NO MSP,NO MSP,beed,maharashtra
kej,gram,2016,NO MSP,NO MSP,beed,maharashtra
mudkhed,pigeon pea (tur),2015,3574.0,3574.0,nanded,maharashtra
mudkhed,pigeon pea (tur),2016,3462.0,3462.0,nanded,maharashtra
sillod,castor seed,2015,NO MSP,NO MSP,aurangabad,maharashtra
sillod,castor seed,2016,NO MSP,NO MSP,aurangabad,maharashtra
kopargaon,onion,2014,NO MSP,NO MSP,ahmadnagar,maharashtra
kopargaon,onion,2015,NO MSP,NO MSP,ahmadnagar,maharashtra
kopargaon,onion,2016,NO MSP,NO MSP,ahmadnagar,maharashtra
dondaicha-sindkheda,soybean,2016,NO MSP,NO MSP,dhule,maharashtra
ahmedpur,sunflower,2014,-1209.0,-2027.0,latur,maharashtra
ahmedpur,sunflower,2015,-489.2857142857142,-806.5714285714284,latur,maharashtra
ahmedpur,sunflower,2016,-454.909090909091,-779.5454545454545,latur,maharashtra
murum,soybean,2014,NO MSP,NO MSP,osmanabad,maharashtra
murum,soybean,2015,NO MSP,NO MSP,osmanabad,maharashtra
murum,soybean,2016,NO MSP,NO MSP,osmanabad,maharashtra
aurangabad,wal bhaji,2014,NO MSP,NO MSP,aurangabad,maharashtra
aurangabad,wal bhaji,2015,NO MSP,NO MSP,aurangabad,maharashtra
aurangabad,wal bhaji,2016,NO MSP,NO MSP,aurangabad,maharashtra
rahuri,shevga,2015,NO MSP,NO MSP,ahmadnagar,maharashtra
rahuri,shevga,2016,NO MSP,NO MSP,ahmadnagar,maharashtra
koregaon,wheat(husked),2014,217.0,217.0,satara,maharashtra
koregaon,wheat(husked),2015,121.0,121.0,satara,maharashtra
koregaon,wheat(husked),2016,NO MSP,NO MSP,satara,maharashtra
satara,cucumber,2014,NO MSP,NO MSP,satara,maharashtra
satara,cucumber,2015,NO MSP,NO MSP,satara,maharashtra
satara,cucumber,2016,NO MSP,NO MSP,satara,maharashtra
sironcha,maize,2016,-4.5,-4.5,gadchiroli,maharashtra
ghatanji,sorgum(jawar),2015,-690.0,-690.0,yewatmal,maharashtra
nira-saswad,ghevda seed,2015,NO MSP,NO MSP,pune,maharashtra
nira-saswad,ghevda seed,2016,NO MSP,NO MSP,pune,maharashtra
lonar,wheat(husked),2014,-29.25,-211.5,buldhana,maharashtra
lonar,wheat(husked),2015,-52.09090909090901,-53.63636363636374,buldhana,maharashtra
lonar,wheat(husked),2016,NO MSP,NO MSP,buldhana,maharashtra
sangamner,horse gram,2014,NO MSP,NO MSP,ahmadnagar,maharashtra
sangamner,horse gram,2015,NO MSP,NO MSP,ahmadnagar,maharashtra
islampur,capsicum,2016,NO MSP,NO MSP,sangli,maharashtra
jalgaon jamod,wheat(husked),2014,-144.0,-511.25,buldhana,maharashtra
jalgaon jamod,wheat(husked),2015,-246.72727272727275,-247.27272727272725,buldhana,maharashtra
jalgaon jamod,wheat(husked),2016,NO MSP,NO MSP,buldhana,maharashtra
khed-chakan,green-peas,2015,NO MSP,NO MSP,pune,maharashtra
khed-chakan,green-peas,2016,NO MSP,NO MSP,pune,maharashtra
dhule,coriander  ,2016,NO MSP,NO MSP,dhule,maharashtra
parola,wheat(husked),2015,-158.5,-734.5,jalgaon,maharashtra
parola,wheat(husked),2016,NO MSP,NO MSP,jalgaon,maharashtra
sangamner,pigeon pea (tur),2015,3808.5,2191.5,ahmadnagar,maharashtra
sangamner,pigeon pea (tur),2016,1771.0,1837.6000000000004,ahmadnagar,maharashtra
dhule,cotton,2014,350.0,350.0,dhule,maharashtra
roha,paddy-unhusked,2014,-60.0,-504.5,raigad,maharashtra
roha,paddy-unhusked,2015,-70.08333333333326,-93.66666666666674,raigad,maharashtra
roha,paddy-unhusked,2016,-43.36363636363626,-262.27272727272725,raigad,maharashtra
udgir,safflower,2015,-800.0,-1634.0,latur,maharashtra
udgir,safflower,2016,NO MSP,NO MSP,latur,maharashtra
jalna,maize,2014,-327.0,-457.75,jalna,maharashtra
jalna,maize,2015,-147.41666666666674,-154.91666666666674,jalna,maharashtra
jalna,maize,2016,6.7999999999999545,-67.59999999999991,jalna,maharashtra
sangrampur-varvatbakal,maize,2015,-307.0,-307.0,buldhana,maharashtra
sangrampur-varvatbakal,maize,2016,-238.75,-238.75,buldhana,maharashtra
deglur,green gram,2014,NO MSP,NO MSP,nanded,maharashtra
deglur,green gram,2015,NO MSP,NO MSP,nanded,maharashtra
deglur,green gram,2016,NO MSP,NO MSP,nanded,maharashtra
latur-murud,green gram,2016,NO MSP,NO MSP,latur,maharashtra
pune-manjri,harbara(bhaji),2016,NO MSP,NO MSP,pune,maharashtra
kamthi,pigen-pea (bhaji),2016,NO MSP,NO MSP,nagpur,maharashtra
kolhapur,bullock heart,2015,NO MSP,NO MSP,kolhapur,maharashtra
bhiwapur,paddy-unhusked,2014,929.5,146.5,nagpur,maharashtra
bhiwapur,paddy-unhusked,2015,458.20000000000005,487.0999999999999,nagpur,maharashtra
bhiwapur,paddy-unhusked,2016,605.0,452.72727272727275,nagpur,maharashtra
nagpur,brinjal,2014,NO MSP,NO MSP,nagpur,maharashtra
nagpur,brinjal,2015,NO MSP,NO MSP,nagpur,maharashtra
nagpur,brinjal,2016,NO MSP,NO MSP,nagpur,maharashtra
khed-chakan,shevga,2015,NO MSP,NO MSP,pune,maharashtra
khed-chakan,shevga,2016,NO MSP,NO MSP,pune,maharashtra
solapur,cabbage,2014,NO MSP,NO MSP,solapur,maharashtra
solapur,cabbage,2015,NO MSP,NO MSP,solapur,maharashtra
solapur,cabbage,2016,NO MSP,NO MSP,solapur,maharashtra
indapur,cowpea,2014,NO MSP,NO MSP,pune,maharashtra
indapur,cowpea,2015,NO MSP,NO MSP,pune,maharashtra
indapur,cowpea,2016,NO MSP,NO MSP,pune,maharashtra
satana,wheat(husked),2014,67.75,-423.75,nasik,maharashtra
satana,wheat(husked),2015,-35.55555555555566,-30.444444444444343,nasik,maharashtra
satana,wheat(husked),2016,NO MSP,NO MSP,nasik,maharashtra
kolhapur-laxmipuri,paddy-unhusked,2014,240.0,240.0,kolhapur,maharashtra
kolhapur-laxmipuri,paddy-unhusked,2015,176.0,176.0,kolhapur,maharashtra
kolhapur-laxmipuri,paddy-unhusked,2016,335.42857142857133,335.42857142857133,kolhapur,maharashtra
partur,sorgum(jawar),2014,-444.5,-887.5,jalna,maharashtra
partur,sorgum(jawar),2015,-296.36363636363626,-394.81818181818176,jalna,maharashtra
partur,sorgum(jawar),2016,0.3636363636362603,-226.909090909091,jalna,maharashtra
jalgaon,mosambi,2014,NO MSP,NO MSP,jalgaon,maharashtra
jalgaon,mosambi,2015,NO MSP,NO MSP,jalgaon,maharashtra
jalgaon,mosambi,2016,NO MSP,NO MSP,jalgaon,maharashtra
nashik,papai,2015,NO MSP,NO MSP,nasik,maharashtra
nashik,papai,2016,NO MSP,NO MSP,nasik,maharashtra
navapur,wheat(husked),2015,-59.0,-59.0,nandurbar,maharashtra
navapur,wheat(husked),2016,NO MSP,NO MSP,nandurbar,maharashtra
devala,green peas (dry),2015,NO MSP,NO MSP,nasik,maharashtra
devala,green peas (dry),2016,NO MSP,NO MSP,nasik,maharashtra
sangamner,onion,2014,NO MSP,NO MSP,ahmadnagar,maharashtra
sangamner,onion,2015,NO MSP,NO MSP,ahmadnagar,maharashtra
sangamner,onion,2016,NO MSP,NO MSP,ahmadnagar,maharashtra
chandrapur-ganjwad,pappaya (bhaji),2015,NO MSP,NO MSP,chandrapur,maharashtra
chandrapur-ganjwad,pappaya (bhaji),2016,NO MSP,NO MSP,chandrapur,maharashtra
kalamb (os),pigeon pea (tur),2014,-770.0,-1478.0,osmanabad,maharashtra
kalamb (os),pigeon pea (tur),2015,2116.818181818182,1661.363636363636,osmanabad,maharashtra
kalamb (os),pigeon pea (tur),2016,1824.545454545455,1181.181818181818,osmanabad,maharashtra
nanded,gram,2014,NO MSP,NO MSP,nanded,maharashtra
nanded,gram,2015,NO MSP,NO MSP,nanded,maharashtra
nanded,gram,2016,NO MSP,NO MSP,nanded,maharashtra
lasur station,mustard,2015,235.5999999999999,235.5999999999999,aurangabad,maharashtra
kamthi,beet root,2014,NO MSP,NO MSP,nagpur,maharashtra
kamthi,beet root,2015,NO MSP,NO MSP,nagpur,maharashtra
kamthi,beet root,2016,NO MSP,NO MSP,nagpur,maharashtra
pune-manjri,curry leaves,2016,NO MSP,NO MSP,pune,maharashtra
kalamnuri,wheat(husked),2014,150.0,-50.0,hingoli,maharashtra
kalamnuri,wheat(husked),2015,72.91666666666674,72.83333333333326,hingoli,maharashtra
kalamnuri,wheat(husked),2016,NO MSP,NO MSP,hingoli,maharashtra
khamgaon,bullack,2014,NO MSP,NO MSP,buldhana,maharashtra
khamgaon,bullack,2015,NO MSP,NO MSP,buldhana,maharashtra
khamgaon,bullack,2016,NO MSP,NO MSP,buldhana,maharashtra
mohol,pigeon pea (tur),2014,-1114.0,-1272.0,solapur,maharashtra
mohol,pigeon pea (tur),2015,687.5714285714284,666.0,solapur,maharashtra
mohol,pigeon pea (tur),2016,2893.25,2358.5,solapur,maharashtra
shrirampur,green chilli,2014,NO MSP,NO MSP,ahmadnagar,maharashtra
shrirampur,green chilli,2015,NO MSP,NO MSP,ahmadnagar,maharashtra
shrirampur,green chilli,2016,NO MSP,NO MSP,ahmadnagar,maharashtra
shirur,gram,2014,NO MSP,NO MSP,pune,maharashtra
shirur,gram,2015,NO MSP,NO MSP,pune,maharashtra
shirur,gram,2016,NO MSP,NO MSP,pune,maharashtra
digras,batbati,2015,NO MSP,NO MSP,yewatmal,maharashtra
digras,batbati,2016,NO MSP,NO MSP,yewatmal,maharashtra
pune,turmeric,2014,NO MSP,NO MSP,pune,maharashtra
pune,turmeric,2015,NO MSP,NO MSP,pune,maharashtra
pune,turmeric,2016,NO MSP,NO MSP,pune,maharashtra
dhule,bajri,2014,-231.75,-420.5,dhule,maharashtra
dhule,bajri,2015,-94.0,-109.70000000000005,dhule,maharashtra
dhule,bajri,2016,47.90909090909099,31.63636363636374,dhule,maharashtra
pune,green chilli,2014,NO MSP,NO MSP,pune,maharashtra
pune,green chilli,2015,NO MSP,NO MSP,pune,maharashtra
pune,green chilli,2016,NO MSP,NO MSP,pune,maharashtra
sengaon,soybean,2015,NO MSP,NO MSP,hingoli,maharashtra
sengaon,soybean,2016,NO MSP,NO MSP,hingoli,maharashtra
aheri,indian bean,2015,NO MSP,NO MSP,gadchiroli,maharashtra
aheri,indian bean,2016,NO MSP,NO MSP,gadchiroli,maharashtra
mangrulpeer,safflower,2015,-1500.0,-1500.0,wasim,maharashtra
kopargaon,wheat(husked),2014,-39.75,-436.25,ahmadnagar,maharashtra
kopargaon,wheat(husked),2015,-107.33333333333326,-107.66666666666674,ahmadnagar,maharashtra
kopargaon,wheat(husked),2016,NO MSP,NO MSP,ahmadnagar,maharashtra
amarawati,pomegranate,2015,NO MSP,NO MSP,amaravathi,maharashtra
amarawati,pomegranate,2016,NO MSP,NO MSP,amaravathi,maharashtra
kopargaon,maize,2014,-313.25,-610.0,ahmadnagar,maharashtra
kopargaon,maize,2015,-104.25,-123.91666666666674,ahmadnagar,maharashtra
kopargaon,maize,2016,3.400000000000091,-89.90000000000009,ahmadnagar,maharashtra
kalyan,carrot,2015,NO MSP,NO MSP,thane,maharashtra
kalyan,carrot,2016,NO MSP,NO MSP,thane,maharashtra
balapur,bajri,2015,-25.0,-25.0,akola,maharashtra
amarawati,papai,2014,NO MSP,NO MSP,amaravathi,maharashtra
amarawati,papai,2015,NO MSP,NO MSP,amaravathi,maharashtra
amarawati,papai,2016,NO MSP,NO MSP,amaravathi,maharashtra
loha,ground nut pods (dry),2014,NO MSP,NO MSP,nanded,maharashtra
loha,ground nut pods (dry),2016,NO MSP,NO MSP,nanded,maharashtra
solapur,ground nut pods (dry),2014,NO MSP,NO MSP,solapur,maharashtra
solapur,ground nut pods (dry),2015,NO MSP,NO MSP,solapur,maharashtra
solapur,ground nut pods (dry),2016,NO MSP,NO MSP,solapur,maharashtra
gondpimpri,pigeon pea (tur),2014,-20.0,-20.0,chandrapur,maharashtra
gondpimpri,pigeon pea (tur),2015,1004.5714285714284,1004.5714285714284,chandrapur,maharashtra
gondpimpri,pigeon pea (tur),2016,2874.2,2874.2,chandrapur,maharashtra
nanded,soybean,2014,NO MSP,NO MSP,nanded,maharashtra
nanded,soybean,2015,NO MSP,NO MSP,nanded,maharashtra
nanded,soybean,2016,NO MSP,NO MSP,nanded,maharashtra
amarawati,sesamum,2015,3242.4444444444443,1834.0,amaravathi,maharashtra
